,Unnamed: 0,SourceFile,cust.GPSLatt,cust.GPSLong,cust.author,cust.MediaDate,cust.GPSAlt,suggested.SourceFile,suggested.cust.GPSLatt,suggested.cust.GPSLong,suggested.cust.GPSAlt,suggested.time.diff,suggested.approved
0,0,/Users/sergey/Pictures/exports/DSC08819.jpg,,,authS,2021-11-20T19:17:39Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2529.JPG,55.9135,37.55,187.2394578,1226.84027777778,False
1,1,/Users/sergey/Pictures/exports/PHOTO-2021-11-19-15-37-51 copy.jpg,,,authS,2022-01-22T10:08:56Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,140.499166666667,True
2,2,/Users/sergey/Pictures/exports/DSC08858-Edit.jpg,,,authS,2021-12-19T09:53:16Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,675.761944444444,False
3,3,/Users/sergey/Pictures/exports/DSC08695.jpg,,,authS,2021-09-09T06:36:52Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2038.JPG,55.7326666666667,37.5863333333333,143.952,513.838888888889,
4,4,/Users/sergey/Pictures/exports/DSC08812.jpg,,,authS,2021-11-20T19:17:38Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2529.JPG,55.9135,37.55,187.2394578,1226.84,
5,5,/Users/sergey/Pictures/exports/DSC03238.jpg,,,authS,2022-05-28T10:10:28Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,3164.52472222222,False
6,6,/Users/sergey/Pictures/exports/DSC08810.jpg,,,authS,2021-11-20T19:17:39Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2529.JPG,55.9135,37.55,187.2394578,1226.84027777778,True
7,7,/Users/sergey/Pictures/exports/DSC08805.jpg,,,authS,2021-11-20T19:17:36Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2529.JPG,55.9135,37.55,187.2394578,1226.83944444444,False
8,8,/Users/sergey/Pictures/exports/DSC01005-Edit.jpg,,,authS,2021-11-06T10:06:32Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2529.JPG,55.9135,37.55,187.2394578,881.655,True
9,9,/Users/sergey/Pictures/exports/DSC08801.jpg,,,authS,2021-11-20T19:17:36Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2529.JPG,55.9135,37.55,187.2394578,1226.83944444444,
10,10,/Users/sergey/Pictures/exports/DSC08695-2.jpg,,,authS,2021-09-09T06:36:54Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2038.JPG,55.7326666666667,37.5863333333333,143.952,513.838333333333,
11,11,/Users/sergey/Pictures/exports/deda Vova/IMG_0228.jpg,,,authS,2021-09-30T16:27:14Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2529.JPG,55.9135,37.55,187.2394578,0.0,
12,12,/Users/sergey/Pictures/exports/deda Vova/wedding-19990805-10.jpg,,,authS,2021-09-30T16:27:14Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2529.JPG,55.9135,37.55,187.2394578,0.0,
13,13,/Users/sergey/Pictures/exports/deda Vova/wedding-19990806-35.jpg,,,authS,2021-09-30T16:27:14Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2529.JPG,55.9135,37.55,187.2394578,0.0,
14,14,/Users/sergey/Pictures/exports/deda Vova/20120608_194700.jpg,,,authS,2021-09-30T16:27:12Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2038.JPG,55.7326666666667,37.5863333333333,143.952,0.0,
15,15,/Users/sergey/Pictures/exports/deda Vova/nov_god_01012006-18.jpg,,,authS,2021-09-30T16:27:14Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2529.JPG,55.9135,37.55,187.2394578,0.0,
16,16,/Users/sergey/Pictures/exports/deda Vova/IMG_0551.jpg,,,authS,2021-09-30T16:27:12Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2038.JPG,55.7326666666667,37.5863333333333,143.952,0.0,
17,17,/Users/sergey/Pictures/exports/deda Vova/IMG_0547.jpg,,,authS,2021-09-30T16:27:14Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2529.JPG,55.9135,37.55,187.2394578,0.0,
18,18,/Users/sergey/Pictures/exports/deda Vova/IMG_0224.jpg,,,authS,2021-09-30T16:27:14Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2529.JPG,55.9135,37.55,187.2394578,0.0,
19,19,/Users/sergey/Pictures/exports/julshow2021/DSC09457.jpg,,,authS,2021-12-20T02:07:17Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.528333333333,
20,20,/Users/sergey/Pictures/exports/julshow2021/DSC09906.jpg,,,authS,2021-12-20T02:07:37Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.522777777778,
21,21,/Users/sergey/Pictures/exports/julshow2021/DSC09279.jpg,,,authS,2021-12-20T02:06:53Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.535,
22,22,/Users/sergey/Pictures/exports/julshow2021/DSC09668.jpg,,,authS,2021-12-20T02:07:29Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.525,
23,23,/Users/sergey/Pictures/exports/julshow2021/DSC09681.jpg,,,authS,2021-12-20T02:07:30Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.524722222222,
24,24,/Users/sergey/Pictures/exports/julshow2021/DSC09520.jpg,,,authS,2021-12-20T02:07:20Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.5275,
25,25,/Users/sergey/Pictures/exports/julshow2021/DSC09285.jpg,,,authS,2021-12-20T02:06:56Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.534166666667,
26,26,/Users/sergey/Pictures/exports/julshow2021/DSC09247.jpg,,,authS,2021-12-20T02:06:45Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.537222222222,
27,27,/Users/sergey/Pictures/exports/julshow2021/DSC09864.jpg,,,authS,2021-12-20T02:07:34Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.523611111111,
28,28,/Users/sergey/Pictures/exports/julshow2021/DSC09323.jpg,,,authS,2021-12-20T02:07:02Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.5325,
