,SourceFile,ExifTool:ExifToolVersion,File:FileName,File:Directory,File:FileSize,File:FileModifyDate,File:FileAccessDate,File:FileInodeChangeDate,File:FilePermissions,File:FileType,File:FileTypeExtension,File:MIMEType,QuickTime:MajorBrand,QuickTime:MinorVersion,QuickTime:CompatibleBrands,QuickTime:MediaDataSize,QuickTime:MediaDataOffset,QuickTime:MovieHeaderVersion,QuickTime:CreateDate,QuickTime:ModifyDate,QuickTime:TimeScale,QuickTime:Duration,QuickTime:PreferredRate,QuickTime:PreferredVolume,QuickTime:PreviewTime,QuickTime:PreviewDuration,QuickTime:PosterTime,QuickTime:SelectionTime,QuickTime:SelectionDuration,QuickTime:CurrentTime,QuickTime:NextTrackID,QuickTime:TrackHeaderVersion,QuickTime:TrackCreateDate,QuickTime:TrackModifyDate,QuickTime:TrackID,QuickTime:TrackDuration,QuickTime:TrackLayer,QuickTime:TrackVolume,QuickTime:ImageWidth,QuickTime:ImageHeight,QuickTime:CleanApertureDimensions,QuickTime:ProductionApertureDimensions,QuickTime:EncodedPixelsDimensions,QuickTime:GraphicsMode,QuickTime:OpColor,QuickTime:CompressorID,QuickTime:SourceImageWidth,QuickTime:SourceImageHeight,QuickTime:XResolution,QuickTime:YResolution,QuickTime:CompressorName,QuickTime:BitDepth,QuickTime:VideoFrameRate,QuickTime:CameraIdentifier,QuickTime:FrameReadoutTime,QuickTime:MatrixStructure,QuickTime:MediaHeaderVersion,QuickTime:MediaCreateDate,QuickTime:MediaModifyDate,QuickTime:MediaTimeScale,QuickTime:MediaDuration,QuickTime:MediaLanguageCode,QuickTime:Balance,QuickTime:HandlerClass,QuickTime:HandlerVendorID,QuickTime:HandlerDescription,QuickTime:AudioFormat,QuickTime:AudioBitsPerSample,QuickTime:AudioSampleRate,QuickTime:LayoutFlags,QuickTime:AudioChannels,QuickTime:PurchaseFileFormat,QuickTime:HandlerType,Composite:ImageSize,Composite:Megapixels,Composite:AvgBitrate,Composite:Rotation,QuickTime:Artwork,File:ExifByteOrder,File:ImageWidth,File:ImageHeight,File:EncodingProcess,File:BitsPerSample,File:ColorComponents,File:YCbCrSubSampling,EXIF:Make,EXIF:Model,EXIF:Orientation,EXIF:XResolution,EXIF:YResolution,EXIF:ResolutionUnit,EXIF:Software,EXIF:ModifyDate,EXIF:YCbCrPositioning,EXIF:ExposureTime,EXIF:FNumber,EXIF:ExposureProgram,EXIF:ISO,EXIF:ExifVersion,EXIF:DateTimeOriginal,EXIF:CreateDate,EXIF:ComponentsConfiguration,EXIF:ShutterSpeedValue,EXIF:ApertureValue,EXIF:BrightnessValue,EXIF:MeteringMode,EXIF:Flash,EXIF:FocalLength,EXIF:FlashpixVersion,EXIF:ColorSpace,EXIF:ExifImageWidth,EXIF:ExifImageHeight,EXIF:SensingMethod,EXIF:CustomRendered,EXIF:ExposureMode,EXIF:WhiteBalance,EXIF:FocalLengthIn35mmFormat,EXIF:SceneCaptureType,EXIF:GPSLatitudeRef,EXIF:GPSLatitude,EXIF:GPSLongitudeRef,EXIF:GPSLongitude,EXIF:GPSAltitudeRef,EXIF:GPSAltitude,EXIF:GPSTimeStamp,EXIF:GPSImgDirectionRef,EXIF:GPSImgDirection,EXIF:Compression,EXIF:ThumbnailOffset,EXIF:ThumbnailLength,EXIF:ThumbnailImage,XMP:XMPToolkit,XMP:CropX,XMP:CropY,XMP:CropW,XMP:CropH,XMP:AffineA,XMP:AffineB,XMP:AffineC,XMP:AffineD,XMP:AffineX,XMP:AffineY,XMP:CropAngle,XMP:CropTop,XMP:CropBottom,XMP:CropLeft,XMP:CropRight,XMP:HasCrop,XMP:AlreadyApplied,Composite:Aperture,Composite:ScaleFactor35efl,Composite:ShutterSpeed,Composite:GPSAltitude,Composite:GPSLatitude,Composite:GPSLongitude,Composite:CircleOfConfusion,Composite:FOV,Composite:FocalLength35efl,Composite:GPSPosition,Composite:HyperfocalDistance,Composite:LightValue,EXIF:SubjectArea,File:CurrentIPTCDigest,EXIF:ImageUniqueID,EXIF:GPSVersionID,XMP:ModifyDate,XMP:Subject,IPTC:EnvelopeRecordVersion,IPTC:CodedCharacterSet,IPTC:ApplicationRecordVersion,IPTC:Keywords,Photoshop:IPTCDigest,XMP:RegionAppliedToDimensionsW,XMP:RegionAppliedToDimensionsH,XMP:RegionAppliedToDimensionsUnit,XMP:RegionType,XMP:RegionExtensionsTimeStamp,XMP:RegionExtensionsFaceID,XMP:RegionExtensionsConfidenceLevel,XMP:RegionExtensionsAngleInfoYaw,XMP:RegionExtensionsAngleInfoRoll,XMP:RegionAreaY,XMP:RegionAreaW,XMP:RegionAreaUnit,XMP:RegionAreaX,XMP:RegionAreaH,EXIF:UniqueCameraModel,EXIF:GPSDateStamp,XMP:CreatorTool,XMP:MetadataDate,XMP:Format,XMP:DocumentID,XMP:OriginalDocumentID,XMP:InstanceID,XMP:RawFileName,XMP:PhotographicSensitivity,XMP:HistoryAction,XMP:HistoryInstanceID,XMP:HistoryWhen,XMP:HistorySoftwareAgent,XMP:HistoryChanged,XMP:RegionRotation,Composite:GPSDateTime,XMP:HierarchicalSubject,XMP:CreateDate,XMP:DateCreated,IPTC:DateCreated,IPTC:TimeCreated,Composite:DateTimeCreated,XMP:RegionName,XMP:Curve0x,XMP:Curve0y,XMP:Curve1x,XMP:Curve1y,XMP:Curve2x,XMP:Curve2y,XMP:Curve3x,XMP:Curve3y,XMP:Curve4x,XMP:Curve4y,XMP:Shadows,XMP:Highlights,XMP:Vibrance,XMP:ToneCurve,XMP:ToneCurveName,XMP:FillLight,XMP:CropConstrainToWarp,EXIF:DigitalZoomRatio,JFIF:JFIFVersion,JFIF:ResolutionUnit,JFIF:XResolution,JFIF:YResolution,EXIF:Padding,XMP:About,ExifTool:Warning,EXIF:XPKeywords,XMP:Rating,XMP:LastKeywordXMP,EXIF:ImageDescription,QuickTime:Model-rus,QuickTime:SoftwareVersion-rus,QuickTime:ContentCreateDate-rus,QuickTime:GPSCoordinates-rus,QuickTime:Make-rus,QuickTime:Make-rus-RU,QuickTime:CreationDate-rus-RU,QuickTime:GPSCoordinates-rus-RU,QuickTime:Software-rus-RU,QuickTime:Model-rus-RU,QuickTime:Model,QuickTime:SoftwareVersion,QuickTime:ContentCreateDate,QuickTime:GPSCoordinates,QuickTime:Make,QuickTime:CreationDate,QuickTime:Software,Composite:GPSAltitudeRef,PNG:ImageWidth,PNG:ImageHeight,PNG:BitDepth,PNG:ColorType,PNG:Compression,PNG:Filter,PNG:Interlace,PNG:SRGBRendering,PNG:Gamma,PNG:PixelsPerUnitX,PNG:PixelsPerUnitY,PNG:PixelUnits,PNG:WhitePointX,PNG:WhitePointY,PNG:RedX,PNG:RedY,PNG:GreenX,PNG:GreenY,PNG:BlueX,PNG:BlueY
0,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0/03.06.2013.mov,12.44,03.06.2013.mov,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0,66013680,2013:05:03 10:46:45+02:00,2023:05:08 01:21:15+02:00,2023:05:08 01:21:15+02:00,100755,MOV,MOV,video/quicktime,qt  ,0.0.0,['qt  '],65991505.0,36.0,0.0,2013:05:03 08:45:55,2013:05:03 08:46:08,600.0,48.8883333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2013:05:03 08:45:55,2013:05:03 08:46:08,1.0,48.8883333333333,0.0,0.0,1280.0,720.0,1280 720,1280 720,1280 720,64.0,32768 32768 32768,avc1,1280.0,720.0,72.0,72.0,H.264,24.0,29.9734205683909,Back,0.029376,1 0 0 0 1 0 0 0 1,0.0,2013:05:03 08:45:55,2013:05:03 08:46:08,44100.0,48.9244444444444,und,0.0,dhlr,appl,Core Media Data Handler,mp4a,16.0,44100.0,100.0,1.0,mp4a,mdta,1280 720,0.9216,10798733.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0/03.06.2013_1.mov,12.44,03.06.2013_1.mov,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0,27974518,2013:05:03 10:50:42+02:00,2023:05:08 01:21:16+02:00,2023:05:08 01:21:16+02:00,100755,MOV,MOV,video/quicktime,qt  ,0.0.0,['qt  '],27963052.0,36.0,0.0,2013:05:03 08:50:21,2013:05:03 08:50:34,600.0,20.4433333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2013:05:03 08:50:21,2013:05:03 08:50:34,1.0,20.4433333333333,0.0,0.0,1280.0,720.0,1280 720,1280 720,1280 720,64.0,32768 32768 32768,avc1,1280.0,720.0,72.0,72.0,H.264,24.0,29.9731073262163,Back,0.029376,1 0 0 0 1 0 0 0 1,0.0,2013:05:03 08:50:21,2013:05:03 08:50:34,44100.0,20.48,und,0.0,dhlr,appl,Core Media Data Handler,mp4a,16.0,44100.0,100.0,1.0,mp4a,mdta,1280 720,0.9216,10942659.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0/IMG_0042.mov,12.44,IMG_0042.mov,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0,32799878,2013:01:27 10:40:07+01:00,2023:05:08 01:21:16+02:00,2023:05:08 01:21:16+02:00,100755,MOV,MOV,video/quicktime,qt  ,0.0.0,['qt  '],32789810.0,36.0,0.0,2013:01:27 09:39:50,2013:01:27 09:40:02,600.0,15.1233333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2013:01:27 09:39:50,2013:01:27 09:40:02,1.0,14.98,0.0,0.0,1920.0,1080.0,1920 1080,1920 1080,1920 1080,64.0,32768 32768 32768,avc1,1920.0,1080.0,72.0,72.0,H.264,24.0,29.9732977303071,Back,0.029376,1 0 0 0 1 0 0 0 1,0.0,2013:01:27 09:39:50,2013:01:27 09:40:03,44100.0,15.1626303854875,und,0.0,dhlr,appl,Core Media Data Handler,mp4a,16.0,44100.0,100.0,1.0,mp4a,mdta,1920 1080,2.0736,17345282.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0/IMG_0300.mov,12.44,IMG_0300.mov,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0,18697997,2013:03:31 11:09:21+02:00,2023:05:08 01:21:16+02:00,2023:05:08 01:21:16+02:00,100755,MOV,MOV,video/quicktime,qt  ,0.0.0,['qt  '],18690708.0,36.0,0.0,2013:03:31 09:09:11,2013:03:31 09:09:20,600.0,8.62333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2013:03:31 09:09:11,2013:03:31 09:09:20,1.0,8.475,0.0,0.0,1920.0,1080.0,1920 1080,1920 1080,1920 1080,64.0,32768 32768 32768,avc1,1920.0,1080.0,72.0,72.0,H.264,24.0,29.9705014749263,Back,0.029376,1 0 0 0 1 0 0 0 1,0.0,2013:03:31 09:09:11,2013:03:31 09:09:20,44100.0,8.66104308390023,und,0.0,dhlr,appl,Core Media Data Handler,mp4a,16.0,44100.0,100.0,1.0,mp4a,mdta,1920 1080,2.0736,17339660.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0/IMG_0427.mov,12.44,IMG_0427.mov,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0,12301373,2013:04:15 20:00:49+02:00,2023:05:08 01:21:16+02:00,2023:05:08 01:21:16+02:00,100755,MOV,MOV,video/quicktime,qt  ,0.0.0,['qt  '],12287189.0,36.0,0.0,2013:04:15 18:00:20,2013:04:15 18:00:33,600.0,27.9833333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2013:04:15 18:00:20,2013:04:15 18:00:33,1.0,27.9816666666667,0.0,0.0,640.0,480.0,640 480,640 480,640 480,64.0,32768 32768 32768,avc1,640.0,480.0,72.0,72.0,H.264,24.0,29.9839180415748,Back,0.022032,1 0 0 0 1 0 0 0 1,0.0,2013:04:15 18:00:20,2013:04:15 18:00:33,44100.0,28.026485260771,und,0.0,dhlr,appl,Core Media Data Handler,mp4a,16.0,44100.0,100.0,1.0,mp4a,mdta,640 480,0.3072,3512716.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0/IMG_0431.mov,12.44,IMG_0431.mov,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0,44014715,2013:04:18 17:36:29+02:00,2023:05:08 01:21:16+02:00,2023:05:08 01:21:16+02:00,100755,MOV,MOV,video/quicktime,qt  ,0.0.0,['qt  '],43975000.0,36.0,0.0,2013:04:18 15:34:51,2013:04:18 15:35:03,600.0,97.0516666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2013:04:18 15:34:51,2013:04:18 15:35:03,1.0,97.0516666666667,0.0,0.0,640.0,480.0,640 480,640 480,640 480,64.0,32768 32768 32768,avc1,640.0,480.0,72.0,72.0,H.264,24.0,29.98402912538,Back,0.022032,1 0 0 0 1 0 0 0 1,0.0,2013:04:18 15:34:51,2013:04:18 15:35:03,44100.0,96.3163718820862,und,0.0,dhlr,appl,Core Media Data Handler,mp4a,16.0,44100.0,100.0,1.0,mp4a,mdta,640 480,0.3072,3624873.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0/IMG_0432.mov,12.44,IMG_0432.mov,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0,879040,2013:04:18 17:41:23+02:00,2023:05:08 01:21:16+02:00,2023:05:08 01:21:16+02:00,100755,MOV,MOV,video/quicktime,qt  ,0.0.0,['qt  '],874517.0,36.0,0.0,2013:04:18 15:41:12,2013:04:18 15:41:14,600.0,1.935,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2013:04:18 15:41:12,2013:04:18 15:41:14,1.0,1.935,0.0,0.0,640.0,480.0,640 480,640 480,640 480,64.0,32768 32768 32768,avc1,640.0,480.0,72.0,72.0,H.264,24.0,29.4573643410853,Front,0.02592,1 0 0 0 1 0 0 0 1,0.0,2013:04:18 15:41:12,2013:04:18 15:41:14,44100.0,1.74149659863946,und,0.0,dhlr,appl,Core Media Data Handler,mp4a,16.0,44100.0,100.0,1.0,mp4a,mdta,640 480,0.3072,3615574.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0/IMG_0434.mov,12.44,IMG_0434.mov,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0,32704096,2013:04:18 17:46:19+02:00,2023:05:08 01:21:16+02:00,2023:05:08 01:21:16+02:00,100755,MOV,MOV,video/quicktime,qt  ,0.0.0,['qt  '],32674020.0,36.0,0.0,2013:04:18 15:41:39,2013:04:18 15:41:51,600.0,70.695,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2013:04:18 15:41:39,2013:04:18 15:41:51,1.0,70.67,0.0,0.0,640.0,480.0,640 480,640 480,640 480,64.0,32768 32768 32768,avc1,640.0,480.0,72.0,72.0,H.264,24.0,29.9844346964766,Back,0.022032,1 0 0 0 1 0 0 0 1,0.0,2013:04:18 15:41:39,2013:04:18 15:41:51,44100.0,70.7279818594104,und,0.0,dhlr,appl,Core Media Data Handler,mp4a,16.0,44100.0,100.0,1.0,mp4a,mdta,640 480,0.3072,3697463.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0/IMG_0436.mov,12.44,IMG_0436.mov,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0,12857236,2013:04:18 17:51:39+02:00,2023:05:08 01:21:16+02:00,2023:05:08 01:21:16+02:00,100755,MOV,MOV,video/quicktime,qt  ,0.0.0,['qt  '],12842825.0,36.0,0.0,2013:04:18 15:51:10,2013:04:18 15:51:23,600.0,28.61,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2013:04:18 15:51:10,2013:04:18 15:51:23,1.0,28.61,0.0,0.0,640.0,480.0,640 480,640 480,640 480,64.0,32768 32768 32768,avc1,640.0,480.0,72.0,72.0,H.264,24.0,29.9842739821772,Back,0.022032,1 0 0 0 1 0 0 0 1,0.0,2013:04:18 15:51:10,2013:04:18 15:51:23,44100.0,28.6534240362812,und,0.0,dhlr,appl,Core Media Data Handler,mp4a,16.0,44100.0,100.0,1.0,mp4a,mdta,640 480,0.3072,3591143.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0/IMG_0507.mov,12.44,IMG_0507.mov,/Volumes/baz2tb/Baz/Pictures/Other/__iPhone Sergey/img0,8389561,2013:05:10 13:03:22+02:00,2023:05:08 01:21:16+02:00,2023:05:08 01:21:16+02:00,100755,MOV,MOV,video/quicktime,qt  ,0.0.0,['qt  '],8385656.0,36.0,0.0,2013:05:10 11:03:16,2013:05:10 11:03:21,600.0,6.73333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2013:05:10 11:03:16,2013:05:10 11:03:21,1.0,6.71333333333333,0.0,1.0,1280.0,720.0,1280 720,1280 720,1280 720,64.0,32768 32768 32768,avc1,1280.0,720.0,72.0,72.0,H.264,24.0,30.0,,,1 0 0 0 1 0 0 0 1,0.0,2013:05:10 11:03:16,2013:05:10 11:03:21,600.0,6.73333333333333,und,0.0,dhlr,appl,Core Media Data Handler,mp4a,16.0,44100.0,101.0,2.0,mp4a,alis,1280 720,0.9216,9963156.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
