,SourceFile,ExifTool:ExifToolVersion,File:FileName,File:Directory,File:FileSize,File:FileModifyDate,File:FileAccessDate,File:FileInodeChangeDate,File:FilePermissions,File:FileType,File:FileTypeExtension,File:MIMEType,File:ExifByteOrder,File:CurrentIPTCDigest,File:ImageWidth,File:ImageHeight,File:EncodingProcess,File:BitsPerSample,File:ColorComponents,File:YCbCrSubSampling,EXIF:Make,EXIF:Model,EXIF:Orientation,EXIF:XResolution,EXIF:YResolution,EXIF:ResolutionUnit,EXIF:Software,EXIF:ModifyDate,EXIF:YCbCrPositioning,EXIF:ExposureTime,EXIF:FNumber,EXIF:ExposureProgram,EXIF:ISO,EXIF:ExifVersion,EXIF:DateTimeOriginal,EXIF:CreateDate,EXIF:ComponentsConfiguration,EXIF:ShutterSpeedValue,EXIF:ApertureValue,EXIF:BrightnessValue,EXIF:MeteringMode,EXIF:Flash,EXIF:FocalLength,EXIF:FlashpixVersion,EXIF:ColorSpace,EXIF:ExifImageWidth,EXIF:ExifImageHeight,EXIF:SensingMethod,EXIF:CustomRendered,EXIF:ExposureMode,EXIF:WhiteBalance,EXIF:FocalLengthIn35mmFormat,EXIF:SceneCaptureType,EXIF:ImageUniqueID,EXIF:GPSVersionID,EXIF:GPSLatitudeRef,EXIF:GPSLatitude,EXIF:GPSLongitudeRef,EXIF:GPSLongitude,EXIF:GPSAltitudeRef,EXIF:GPSAltitude,EXIF:GPSTimeStamp,EXIF:GPSDateStamp,EXIF:Compression,EXIF:ThumbnailOffset,EXIF:ThumbnailLength,EXIF:ThumbnailImage,XMP:XMPToolkit,XMP:ModifyDate,XMP:CreatorTool,XMP:CreateDate,XMP:MetadataDate,XMP:Format,XMP:DateCreated,XMP:DocumentID,XMP:OriginalDocumentID,XMP:InstanceID,XMP:RawFileName,XMP:PhotographicSensitivity,XMP:Subject,XMP:HistoryAction,XMP:HistoryInstanceID,XMP:HistoryWhen,XMP:HistorySoftwareAgent,XMP:HistoryChanged,XMP:RegionAppliedToDimensionsW,XMP:RegionAppliedToDimensionsH,XMP:RegionAppliedToDimensionsUnit,XMP:RegionRotation,XMP:RegionType,XMP:RegionAreaH,XMP:RegionAreaW,XMP:RegionAreaX,XMP:RegionAreaY,XMP:HierarchicalSubject,IPTC:CodedCharacterSet,IPTC:EnvelopeRecordVersion,IPTC:ApplicationRecordVersion,IPTC:Keywords,IPTC:DateCreated,IPTC:TimeCreated,Photoshop:IPTCDigest,Composite:Aperture,Composite:ImageSize,Composite:Megapixels,Composite:ScaleFactor35efl,Composite:ShutterSpeed,Composite:GPSAltitude,Composite:GPSDateTime,Composite:GPSLatitude,Composite:GPSLongitude,Composite:DateTimeCreated,Composite:CircleOfConfusion,Composite:FOV,Composite:FocalLength35efl,Composite:GPSPosition,Composite:HyperfocalDistance,Composite:LightValue,JFIF:JFIFVersion,JFIF:ResolutionUnit,JFIF:XResolution,JFIF:YResolution,EXIF:SubjectArea,EXIF:Padding,XMP:About,XMP:RegionExtensionsTimeStamp,XMP:RegionExtensionsFaceID,XMP:RegionExtensionsConfidenceLevel,XMP:RegionExtensionsAngleInfoYaw,XMP:RegionExtensionsAngleInfoRoll,XMP:RegionAreaUnit,EXIF:GPSImgDirectionRef,EXIF:GPSImgDirection,EXIF:DigitalZoomRatio,XMP:CropX,XMP:CropY,XMP:CropW,XMP:CropH,XMP:AffineA,XMP:AffineB,XMP:AffineC,XMP:AffineD,XMP:AffineX,XMP:AffineY,XMP:CropAngle,XMP:CropTop,XMP:CropBottom,XMP:CropLeft,XMP:CropRight,XMP:HasCrop,XMP:AlreadyApplied,ExifTool:Warning,EXIF:XPKeywords,XMP:Rating,XMP:LastKeywordXMP,XMP:RegionName,XMP:CropConstrainToWarp,EXIF:ImageDescription,XMP:Curve0x,XMP:Curve0y,XMP:Curve1x,XMP:Curve1y,XMP:Curve2x,XMP:Curve2y,XMP:Curve3x,XMP:Curve3y,XMP:Curve4x,XMP:Curve4y,XMP:Shadows,XMP:Highlights,XMP:Vibrance,XMP:ToneCurve,XMP:ToneCurveName,XMP:FillLight,EXIF:UniqueCameraModel,PNG:ImageWidth,PNG:ImageHeight,PNG:BitDepth,PNG:ColorType,PNG:Compression,PNG:Filter,PNG:Interlace,PNG:SRGBRendering,PNG:Gamma,PNG:WhitePointX,PNG:WhitePointY,PNG:RedX,PNG:RedY,PNG:GreenX,PNG:GreenY,PNG:BlueX,PNG:BlueY,PNG:PixelsPerUnitX,PNG:PixelsPerUnitY,PNG:PixelUnits
0,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0799.JPG,12.44,IMG_0799.JPG,/Users/sergey/Pictures/iPhone Sergey/tmp/img0,1577122,2015:07:24 10:57:24+02:00,2023:05:08 01:41:54+02:00,2023:05:08 01:41:26+02:00,100755,JPEG,JPG,image/jpeg,MM,93691cb743d9a52f215b429c16de959a,3264.0,2448.0,0.0,8.0,3.0,2 2,Apple,iPhone 5,1.0,72.0,72.0,2.0,6.1.4,2015:04:05 16:39:19,1.0,0.05,2.4,2.0,200.0,0221,2013:07:09 20:36:25,2013:07:09 20:36:25,1 2 3 0,0.0499990062408592,2.40000000859426,1.474747475,5.0,0.0,4.13,0100,1.0,3264.0,2448.0,2.0,2.0,0.0,0.0,33.0,0.0,efbe65ff428c5a7883b993dbf9b3eca8,2 2 0 0,N,42.7033333333333,E,27.7921666666667,0.0,28.44549763,17:36:24.99,2013:07:09,6.0,920.0,10894.0,"(Binary data 10894 bytes, use -b option to extract)","Adobe XMP Core 5.6-c011 79.156380, 2014/05/21-23:38:37        ",2015:04:05 16:39:19+03:00,6.1.4,2013:07:09 20:36:25,2015:07:24 11:57:24+03:00,image/jpeg,2013:07:09 20:36:25,14FEB3E40CBE0986856F7FF15A21FC47,14FEB3E40CBE0986856F7FF15A21FC47,xmp.iid:74305efb-62cb-4248-9ef7-09bea79706cf,IMG_0799.JPG,200.0,Тимофей,saved,xmp.iid:74305efb-62cb-4248-9ef7-09bea79706cf,2015:07:24 11:57:24+03:00,Adobe Photoshop Lightroom 6.1 (Macintosh),/metadata,3264.0,2448.0,pixel,"[-0.21271, -0.16529]","['Face', 'Face']","[0.15194, 0.093]","[0.11395, 0.06975]","[0.61056, 0.4267]","[0.54752, 0.66761]",Тимофей,%G,4.0,4.0,Тимофей,2013:07:09,20:36:25,93691cb743d9a52f215b429c16de959a,2.4,3264 2448,7.990272,7.99031476997579,0.05,28.44549763,2013:07:09 17:36:24.99Z,42.7033333333333,27.7921666666667,2013:07:09 20:36:25,0.00376033504233997,57.2209676644141,33.0,42.7033333333333 27.7921666666667,1.89000224358841,5.84799690655495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0772.JPG,12.44,IMG_0772.JPG,/Users/sergey/Pictures/iPhone Sergey/tmp/img0,3127675,2014:02:25 20:48:49+01:00,2023:05:08 01:41:54+02:00,2023:05:08 01:41:23+02:00,100755,JPEG,JPG,image/jpeg,MM,,3264.0,2448.0,0.0,8.0,3.0,2 2,Apple,iPhone 5,1.0,72.0,72.0,2.0,6.1.4,2014:02:25 23:48:48,1.0,0.0006821282401,2.4,2.0,50.0,0221,2013:07:07 10:51:56,2013:07:07 10:51:56,1 2 3 0,0.000681999962323709,2.40000000859426,10.05178908,5.0,16.0,4.13,0100,1.0,3264.0,2448.0,2.0,,0.0,0.0,33.0,0.0,,,N,42.7035,E,27.7985,1.0,0.0,07:51:56.55,,6.0,5036.0,5391.0,"(Binary data 5391 bytes, use -b option to extract)",,,Microsoft Windows Live Photo Gallery 15.4.3555.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3264 2448,7.990272,7.99031476997579,0.0006821282401,0.0,,42.7035,27.7985,,0.00376033504233997,57.2209676644141,33.0,42.7035 27.7985,1.89000224358841,14.0437381998207,1 1,1.0,72.0,72.0,1631 1223 881 881,"(Binary data 2060 bytes, use -b option to extract)",uuid:faf5bdd5-ba3d-11da-ad31-d33d75182f1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0996.JPG,12.44,IMG_0996.JPG,/Users/sergey/Pictures/iPhone Sergey/tmp/img0,2067772,2015:04:05 14:58:05+02:00,2023:05:08 01:41:55+02:00,2023:05:08 01:40:33+02:00,100755,JPEG,JPG,image/jpeg,MM,1ef87be162499aa3f081939c1f4e91f9,3264.0,2448.0,0.0,8.0,3.0,2 2,Apple,iPhone 5,3.0,72.0,72.0,2.0,6.1.4,2015:04:05 15:58:05,1.0,0.006711409396,2.4,2.0,50.0,0221,2013:07:20 19:38:57,2013:07:20 19:38:57,1 2 3 0,0.00671499952063184,2.40000000859426,5.414096916,5.0,9.0,4.13,0100,1.0,3264.0,2448.0,2.0,,0.0,0.0,33.0,0.0,834f655f4103283b0a2b280ef4356ab6,2 2 0 0,N,42.4251666666667,E,27.695,0.0,30.00866551,16:38:57.33,,6.0,928.0,9607.0,"(Binary data 9607 bytes, use -b option to extract)",XMP Core 5.1.2,2015:04:05 15:58:05+03:00,,,,,,,,,,,Ирина,,,,,,3264.0,2448.0,pixel,,Face,0.1,0.075,0.222,0.454,,%G,4.0,4.0,Ирина,,,1ef87be162499aa3f081939c1f4e91f9,2.4,3264 2448,7.990272,7.99031476997579,0.006711409396,30.00866551,,42.4251666666667,27.695,,0.00376033504233997,57.2209676644141,33.0,42.4251666666667 27.695,1.89000224358841,10.745237332124,,,,,1631 1223 881 881,,,2034936417.0,1.0,194.0,270.0,180.0,normalized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0982.JPG,12.44,IMG_0982.JPG,/Users/sergey/Pictures/iPhone Sergey/tmp/img0,2302296,2013:07:20 11:52:08+02:00,2023:05:08 01:41:55+02:00,2023:05:08 01:40:32+02:00,100755,JPEG,JPG,image/jpeg,MM,,3264.0,2448.0,0.0,8.0,3.0,2 2,Apple,iPhone 5,1.0,72.0,72.0,2.0,6.1.4,2013:07:20 12:52:08,1.0,0.04545454545,2.4,2.0,50.0,0221,2013:07:20 12:52:08,2013:07:20 12:52:08,1 2 3 0,0.0457030116940143,2.40000000859426,3.624306326,5.0,9.0,4.13,0100,1.0,3264.0,2448.0,2.0,,0.0,0.0,33.0,0.0,,,N,42.5301666666667,E,27.456,0.0,26.23712183,09:51:57.89,,6.0,902.0,8200.0,"(Binary data 8200 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3264 2448,7.990272,7.99031476997579,0.04545454545,26.23712183,,42.5301666666667,27.456,,0.00376033504233997,57.2209676644141,33.0,42.5301666666667 27.456,1.89000224358841,7.98550043044915,,,,,1631 1223 881 881,,,,,,,,,T,282.4994041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0216.JPG,12.44,IMG_0216.JPG,/Users/sergey/Pictures/iPhone Sergey/tmp/img0,3178083,2013:03:09 17:01:21+01:00,2023:05:08 01:41:52+02:00,2023:05:08 01:40:46+02:00,100755,JPEG,JPG,image/jpeg,MM,,3264.0,2448.0,0.0,8.0,3.0,2 2,Apple,iPhone 5,1.0,72.0,72.0,2.0,6.1.2,2013:03:09 17:01:21,1.0,0.007575757576,2.4,2.0,50.0,0221,2013:03:09 17:01:21,2013:03:09 17:01:21,1 2 3 0,0.00758499708307397,2.40000000859426,6.152295633,5.0,24.0,4.13,0100,1.0,3264.0,2448.0,2.0,,0.0,0.0,33.0,0.0,,,N,59.3296666666667,E,18.0898333333333,0.0,10.08435072,16:01:21.5,,6.0,902.0,14099.0,"(Binary data 14099 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3264 2448,7.990272,7.99031476997579,0.007575757576,10.08435072,,59.3296666666667,18.0898333333333,,0.00376033504233997,57.2209676644141,33.0,59.3296666666667 18.0898333333333,1.89000224358841,10.5704629309799,,,,,1631 1223 881 881,,,,,,,,,T,270.1267606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0558.JPG,12.44,IMG_0558.JPG,/Users/sergey/Pictures/iPhone Sergey/tmp/img0,2393923,2013:05:28 06:17:30+02:00,2023:05:08 01:41:54+02:00,2023:05:08 01:41:01+02:00,100755,JPEG,JPG,image/jpeg,MM,,3264.0,2448.0,0.0,8.0,3.0,2 2,Apple,iPhone 5,6.0,72.0,72.0,2.0,6.1.4,2013:05:28 08:17:30,1.0,0.025,2.4,2.0,64.0,0221,2013:05:28 08:17:30,2013:05:28 08:17:30,1 2 3 0,0.0249989997893469,2.40000000859426,4.354070661,5.0,16.0,4.13,0100,1.0,3264.0,2448.0,2.0,,0.0,0.0,33.0,0.0,,,N,55.9135,E,37.5543333333333,0.0,194.5800525,04:17:13.26,,6.0,870.0,12098.0,"(Binary data 12098 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3264 2448,7.990272,7.99031476997579,0.025,194.5800525,,55.9135,37.5543333333333,,0.00376033504233997,57.2209676644141,33.0,55.9135 37.5543333333333,1.89000224358841,8.49185309632968,,,,,1631 1223 881 881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0362.JPG,12.44,IMG_0362.JPG,/Users/sergey/Pictures/iPhone Sergey/tmp/img0,2206837,2013:04:02 10:51:09+02:00,2023:05:08 01:41:53+02:00,2023:05:08 01:40:52+02:00,100755,JPEG,JPG,image/jpeg,MM,,3264.0,2448.0,0.0,8.0,3.0,2 2,Apple,iPhone 5,6.0,72.0,72.0,2.0,ProCam 2.1,,1.0,0.0008673026886,2.4,2.0,50.0,0221,,,1 2 3 0,0.000867000159916506,2.40000000859426,8.984610452,5.0,16.0,4.13,0100,1.0,3264.0,2448.0,2.0,,0.0,0.0,33.0,0.0,,,N,56.5438333333333,E,37.5713333333333,,,,,6.0,712.0,11179.0,"(Binary data 11179 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3264 2448,7.990272,7.99031476997579,0.0008673026886,,,56.5438333333333,37.5713333333333,,0.00376033504233997,57.2209676644141,33.0,56.5438333333333 37.5713333333333,1.89000224358841,13.6972456093831,,,,,1631 1223 881 881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0376.JPG,12.44,IMG_0376.JPG,/Users/sergey/Pictures/iPhone Sergey/tmp/img0,1766100,2013:04:08 16:29:49+02:00,2023:05:08 01:43:06+02:00,2023:05:08 01:40:52+02:00,100755,JPEG,JPG,image/jpeg,MM,,3264.0,2448.0,0.0,8.0,3.0,2 2,Apple,iPhone 5,1.0,72.0,72.0,2.0,6.1.3,2013:04:08 18:29:49,1.0,0.05,2.4,2.0,200.0,0221,2013:04:08 18:29:49,2013:04:08 18:29:49,1 2 3 0,0.0499990062408592,2.40000000859426,1.925855513,5.0,0.0,4.13,0100,1.0,3264.0,2448.0,2.0,2.0,0.0,0.0,33.0,0.0,,,N,55.7883333333333,E,37.618,0.0,163.0,14:29:44.29,,6.0,894.0,6896.0,"(Binary data 6896 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3264 2448,7.990272,7.99031476997579,0.05,163.0,,55.7883333333333,37.618,,0.00376033504233997,57.2209676644141,33.0,55.7883333333333 37.618,1.89000224358841,5.84799690655495,,,,,,,,,,,,,,T,326.4762431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0821.JPG,12.44,IMG_0821.JPG,/Users/sergey/Pictures/iPhone Sergey/tmp/img0,5701471,2015:04:05 15:56:24+02:00,2023:05:08 01:41:54+02:00,2023:05:08 01:41:28+02:00,100755,JPEG,JPG,image/jpeg,MM,f99c7e0fc7a6cd75f6177fe24c8b05a8,3264.0,2448.0,0.0,8.0,3.0,1 1,Apple,iPhone 5,1.0,72.0,72.0,2.0,ProCam 2.5,2015:04:05 16:56:24,1.0,0.001733102253,2.4,2.0,50.0,0221,2013:07:10 17:58:45,2013:07:10 17:58:45,1 2 3 0,0.00173400032343876,2.40000000859426,7.814268143,5.0,16.0,4.13,0100,1.0,3264.0,2448.0,2.0,,0.0,0.0,33.0,0.0,8fb2b75727b7ace9ea2bdd989ae6624b,2 2 0 0,N,42.7046666666667,E,27.7918333333333,0.0,,,,6.0,896.0,12599.0,"(Binary data 12599 bytes, use -b option to extract)",XMP Core 5.1.2,2015:04:05 16:56:24+03:00,,,,,,,,,,,Сергей,,,,,,,,,,,,,,,,%G,4.0,4.0,Сергей,,,f99c7e0fc7a6cd75f6177fe24c8b05a8,2.4,3264 2448,7.990272,7.99031476997579,0.001733102253,,,42.7046666666667,27.7918333333333,,0.00376033504233997,57.2209676644141,33.0,42.7046666666667 27.7918333333333,1.89000224358841,12.6984963203405,,,,,1631 1223 881 881,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0835.JPG,12.44,IMG_0835.JPG,/Users/sergey/Pictures/iPhone Sergey/tmp/img0,1554456,2015:04:05 15:56:30+02:00,2023:05:08 01:41:54+02:00,2023:05:08 01:41:29+02:00,100755,JPEG,JPG,image/jpeg,MM,29675fad8b5d9d601f78545b73be3e65,3264.0,2448.0,0.0,8.0,3.0,2 2,Apple,iPhone 5,1.0,72.0,72.0,2.0,6.1.4,2015:04:05 16:56:30,1.0,0.05,2.4,2.0,125.0,0221,2013:07:11 17:20:36,2013:07:11 17:20:36,1 2 3 0,0.0499990062408592,2.40000000859426,1.81039461,5.0,0.0,4.13,0100,1.0,3264.0,2448.0,2.0,2.0,0.0,0.0,33.0,0.0,11f90e82d8e14ce51520d331c449a92f,2 2 0 0,N,42.7075,E,27.778,0.0,36.00000381,14:20:30.97,,6.0,952.0,9967.0,"(Binary data 9967 bytes, use -b option to extract)",XMP Core 5.1.2,2015:04:05 16:56:30+03:00,,,,,,,,,,,"['Ирина', 'Сергей', 'Тимофей']",,,,,,3264.0,2448.0,pixel,,"['Face', 'Face']","[0.092, 0.092]","[0.069, 0.069]","[0.241, 0.628]","[0.433, 0.4]",,%G,4.0,4.0,"['Ирина', 'Сергей', 'Тимофей']",,,29675fad8b5d9d601f78545b73be3e65,2.4,3264 2448,7.990272,7.99031476997579,0.05,36.00000381,,42.7075,27.778,,0.00376033504233997,57.2209676644141,33.0,42.7075 27.778,1.89000224358841,6.52606881166759,,,,,,,,2093908547.0,5.0,255.0,,,"['normalized', 'normalized']",T,245.5721393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
